classification_path,name,is_group,total_printed,table_column,printed_page,india_persons,india_males,india_females
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Kwi,Kwi,0,1,476,484,3839,1962,1877
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Akha,Akha,0,1,479,484,40407,21261,19146
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Ako,Ako,0,1,482,484,1343,680,663
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Lolo-Muhso Group > Pyin,Pyin,0,1,485,484,800,440,360
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Sak (Lui) Group,Sak (Lui) Group,1,1,488,484,34299,16591,17708
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Sak (Lui) Group > Kadu,Kadu,0,1,491,484,20305,9962,10343
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Sak (Lui) Group > Ganan,Ganan,0,1,494,484,7144,3168,3976
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Sak (Lui) Group > Sak,Sak,0,1,497,484,691,350,341
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Assam-Burmese Branch > Sak (Lui) Group > Daingnet,Daingnet,0,1,500,484,6159,3111,3048
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Unclassed,Unclassed,1,0,,,17887,10993,6894
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Unclassed > Mro Group,Mro Group,1,0,,,17887,10993,6894
A. Vernaculars of India > Tibeto-Chinese Family > Tibeto-Burman Sub-Family > Unclassed > Mro Group > Mro (Mru),Mro (Mru),0,1,503,484,17887,10993,6894
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family,Tai-Chinese Sub-Family,1,0,,,1027656,516913,510743
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch,Tai Branch,1,0,,,1027656,516913,510743
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group,Tai Group,1,1,506,484,1027656,516913,510743
A. Vernaculars of India > Tibeto-Chinese Family > Tai-Chinese Sub-Family > Tai Branch > Tai Group > Lao,Lao,0,1,509,484,7163,3524,3639
